"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"FrObservation","FrObservation","","","",0,*,"","","","null {[]} {[]}
","Entrée Observation","Entrée observation","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"FrObservation.observationIdentifiant","FrObservation.observationIdentifiant","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"FrObservation.observationIdentifiant",1,1,"",""
"FrObservation.observationCode","FrObservation.observationCode","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'observation","Code de l'observation","","","","","","","","","",,,,,"",,,,"FrObservation.observationCode",1,1,"",""
"FrObservation.observationDescription","FrObservation.observationDescription","","","",1,1,"","","","Narrative {[]} {[]}
","Description narrative de l'observation","Description narrative de l'observation","","","","","","","","","",,,,,"",,,,"FrObservation.observationDescription",1,1,"",""
"FrObservation.observationStatut","FrObservation.observationStatut","","","",1,1,"","","","code {[]} {[]}
","Statut de l'observation","Statut de l'observation","","","","","","","","","",,,,,"",,,,"FrObservation.observationStatut",1,1,"",""
"FrObservation.observationDate","FrObservation.observationDate","","","",0,1,"","","","dateTime {[]} {[]}
","Date de l'observation","Date de l'observation","","","","","","","","","",,,,,"",,,,"FrObservation.observationDate",0,1,"",""
"FrObservation.observationNombreRenouvellements","FrObservation.observationNombreRenouvellements","","","",0,1,"","","","Range {[]} {[]}
","Nombre de renouvellements possibles","Nombre de renouvellements possibles","","","","","","","","","",,,,,"",,,,"FrObservation.observationNombreRenouvellements",0,1,"",""
"FrObservation.observationResultat","FrObservation.observationResultat","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Valeur de l'observation","Valeur de l'observation","","","","","","","","","",,,,,"",,,,"FrObservation.observationResultat",0,*,"",""
"FrObservation.observationInterpretation","FrObservation.observationInterpretation","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Interprétation","Interprétation","","","","","","","","","",,,,,"",,,,"FrObservation.observationInterpretation",0,1,"",""
"FrObservation.observationMethode","FrObservation.observationMethode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Méthode","Méthode","","","","","","","","","",,,,,"",,,,"FrObservation.observationMethode",0,1,"",""
"FrObservation.observationLocalisationAnatomique","FrObservation.observationLocalisationAnatomique","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Localisation anatomique","Localisation anatomique","","","","","","","","","",,"","SNOMED CT (2.16.840.1.113883.6.96)","","",,,,"FrObservation.observationLocalisationAnatomique",0,1,"",""
"FrObservation.observationAuteur","FrObservation.observationAuteur","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/Auteur {[]} {[]}
","Auteur de l'observation","Auteur de l'observation","","","","","","","","","",,,,,"",,,,"FrObservation.observationAuteur",0,1,"",""
