"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"DirectiveAnticipee","DirectiveAnticipee","","","",0,*,"","","","null {[]} {[]}
","Directive anticipée","Modèle logique métier de l'entrée Directive anticipée","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"DirectiveAnticipee.identifiant","DirectiveAnticipee.identifiant","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"DirectiveAnticipee.identifiant",1,1,"",""
"DirectiveAnticipee.code","DirectiveAnticipee.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type de la directive anticipée","Type de la directive anticipée","","","","","","","","","",,,,,"",,,,"DirectiveAnticipee.code",1,1,"",""
"DirectiveAnticipee.description","DirectiveAnticipee.description","","","",1,1,"","","","Narrative {[]} {[]}
","Partie narrative de l'observation","Partie narrative de l'observation","","","","","","","","","",,,,,"",,,,"DirectiveAnticipee.description",1,1,"",""
"DirectiveAnticipee.statut","DirectiveAnticipee.statut","","","",1,1,"","","","code {[]} {[]}
","Statut de l'observation","Statut de l'observation","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""completed""/>","","","",,,,,"",,,,"DirectiveAnticipee.statut",1,1,"",""
"DirectiveAnticipee.date","DirectiveAnticipee.date","","","",1,1,"","","","dateTime {[]} {[]}
","Date de la directive anticipée","Date de la directive anticipée","","","","","","","","","",,,,,"",,,,"DirectiveAnticipee.date",1,1,"",""
"DirectiveAnticipee.valeurDirectiveIdentifiee","DirectiveAnticipee.valeurDirectiveIdentifiee","","","",0,1,"","","","boolean {[]} {[]}
","Procédure autorisée ou pas","Procédure autorisée ou pas","","","","","","","","","",,,,,"",,,,"DirectiveAnticipee.valeurDirectiveIdentifiee",0,1,"",""
"DirectiveAnticipee.reference","DirectiveAnticipee.reference","","","",0,1,"","","","BackboneElement {[]} {[]}
","Référence à un document externe","Référence à un document externe","","","","","","","","","",,,,,"",,,,"DirectiveAnticipee.reference",0,1,"",""
"DirectiveAnticipee.documentEncapsule","DirectiveAnticipee.documentEncapsule","","","",0,1,"","","","Base {[]} {[]}
","Document encapsulé en B64","Document encapsulé en B64","","","","","","","","","",,,,,"",,,,"DirectiveAnticipee.documentEncapsule",0,1,"",""
"DirectiveAnticipee.documentEncapsule.observationMedia","DirectiveAnticipee.documentEncapsule.observationMedia","","","",1,1,"","","","Base {[]} {[]}
","Observation média","Observation média","","","","","","","","","",,,,,"",,,,"DirectiveAnticipee.documentEncapsule.observationMedia",1,1,"",""
"DirectiveAnticipee.documentEncapsule.observationMedia.identifiant","DirectiveAnticipee.documentEncapsule.observationMedia.identifiant","","","",0,1,"","","","Identifier {[]} {[]}
","Identifiant de l’observationMedia","Identifiant de l’observationMedia","","","","","","","","","",,,,,"",,,,"DirectiveAnticipee.documentEncapsule.observationMedia.identifiant",0,1,"",""
"DirectiveAnticipee.documentEncapsule.observationMedia.documentEncapsuleEncode","DirectiveAnticipee.documentEncapsule.observationMedia.documentEncapsuleEncode","","","",0,1,"","","","base64Binary {[]} {[]}
","Document encapsulé encodée en Base64","Document encapsulé encodée en Base64","","","","","","","","","",,,,,"",,,,"DirectiveAnticipee.documentEncapsule.observationMedia.documentEncapsuleEncode",0,1,"",""
