"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"DICOMQuantitySubordonnee","DICOMQuantitySubordonnee","","","",0,*,"","","","null {[]} {[]}
","DICOM Quantity Subordonnee","Modèle logique métier de l'entrée DICOM Quantity Subordonnee","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"DICOMQuantitySubordonnee.identifiant","DICOMQuantitySubordonnee.identifiant","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"DICOMQuantitySubordonnee.identifiant",1,1,"",""
"DICOMQuantitySubordonnee.code","DICOMQuantitySubordonnee.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'observation","Code de l'observation","","","","","","","","","",,,,,"",,,,"DICOMQuantitySubordonnee.code",1,1,"",""
"DICOMQuantitySubordonnee.description","DICOMQuantitySubordonnee.description","","","",0,1,"","","","Narrative {[]} {[]}
","Partie narrative de l'observation","Partie narrative de l'observation","","","","","","","","","",,,,,"",,,,"DICOMQuantitySubordonnee.description",0,1,"",""
"DICOMQuantitySubordonnee.statut","DICOMQuantitySubordonnee.statut","","","",1,1,"","","","code {[]} {[]}
","status de l'observation","status de l'observation","","","","","","","","","",,,,,"",,,,"DICOMQuantitySubordonnee.statut",1,1,"",""
"DICOMQuantitySubordonnee.date","DICOMQuantitySubordonnee.date","","","",0,1,"","","","dateTime {[]} {[]}
","Date de l'observation","Date de l'observation","","","","","","","","","",,,,,"",,,,"DICOMQuantitySubordonnee.date",0,1,"",""
"DICOMQuantitySubordonnee.valeur","DICOMQuantitySubordonnee.valeur","","","",1,1,"","","","Quantity {[]} {[]}
","Valeur de l'observation","Valeur de l'observation","","","","","","","","","",,,,,"",,,,"DICOMQuantitySubordonnee.valeur",1,1,"",""
"DICOMQuantitySubordonnee.interpretation","DICOMQuantitySubordonnee.interpretation","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Interprétation code de l'observation","Interprétation code de l'observation","","","","","","","","","",,,,,"",,,,"DICOMQuantitySubordonnee.interpretation",0,1,"",""
"DICOMQuantitySubordonnee.methode","DICOMQuantitySubordonnee.methode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Méthode code de l'observation","Méthode code de l'observation","","","","","","","","","",,,,,"",,,,"DICOMQuantitySubordonnee.methode",0,1,"",""
"DICOMQuantitySubordonnee.lateralite","DICOMQuantitySubordonnee.lateralite","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Latéralité et topographie","Latéralité et topographie","","","","","","","","","",,"","jdv-localisation-anatomique-cisis (1.2.250.1.213.1.1.5.694)","","",,,,"DICOMQuantitySubordonnee.lateralite",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"DICOMQuantitySubordonnee.lateralite.id","DICOMQuantitySubordonnee.lateralite.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
