"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"FrVaccinRecommande","FrVaccinRecommande","","","",0,*,"","","","null {[]} {[]}
","Vaccin recommandé","Entrée Vaccin recommandé","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"FrVaccinRecommande.identifiantVaccinRecommande","FrVaccinRecommande.identifiantVaccinRecommande","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l’entrée","Identifiant de l’entrée","","","","","","","","","",,,,,"",,,,"FrVaccinRecommande.identifiantVaccinRecommande",1,1,"",""
"FrVaccinRecommande.codeVaccinRecommande","FrVaccinRecommande.codeVaccinRecommande","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type d'acte : vaccination","Type d'acte : vaccination","","","","","","","","","",,,,,"",,,,"FrVaccinRecommande.codeVaccinRecommande",1,1,"",""
"FrVaccinRecommande.descriptionNarrativeVaccinRecommande","FrVaccinRecommande.descriptionNarrativeVaccinRecommande","","","",1,1,"","","","Narrative {[]} {[]}
","Partie narrative de l’entrée","Partie narrative de l’entrée","","","","","","","","","",,,,,"",,,,"FrVaccinRecommande.descriptionNarrativeVaccinRecommande",1,1,"",""
"FrVaccinRecommande.statutVaccinRecommande","FrVaccinRecommande.statutVaccinRecommande","","","",1,1,"","","","code {[]} {[]}
","Statut de l’entrée","Statut de l’entrée","","","","","","","","","",,,,,"",,,,"FrVaccinRecommande.statutVaccinRecommande",1,1,"",""
"FrVaccinRecommande.periodeVaccination","FrVaccinRecommande.periodeVaccination","","","",1,1,"","","","dateTime {[]} {[]}
","Période de vaccination souhaitable","Période de vaccination souhaitable","","","","","","","","","",,,,,"",,,,"FrVaccinRecommande.periodeVaccination",1,1,"",""
"FrVaccinRecommande.voieAdministration","FrVaccinRecommande.voieAdministration","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Voie d’administration","Voie d’administration","","","","","","","","","",,,,,"",,,,"FrVaccinRecommande.voieAdministration",0,1,"",""
"FrVaccinRecommande.regionAnatomique","FrVaccinRecommande.regionAnatomique","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Région anatomique d'administration","Région anatomique d'administration","","","","","","","","","",,"","SNOMED CT (2.16.840.1.113883.6.96)","","",,,,"FrVaccinRecommande.regionAnatomique",0,*,"",""
"FrVaccinRecommande.doseAdministree","FrVaccinRecommande.doseAdministree","","","",0,1,"","","","Quantity {[]} {[]}
","Dose administrée","Dose administrée","","","","","","","","","",,,,,"",,,,"FrVaccinRecommande.doseAdministree",0,1,"",""
"FrVaccinRecommande.vaccin","FrVaccinRecommande.vaccin","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/FrProduitSante {[]} {[]}
","Vaccin","Vaccin","","","","","","","","","",,,,,"",,,,"FrVaccinRecommande.vaccin",1,1,"",""
"FrVaccinRecommande.prescription","FrVaccinRecommande.prescription","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/FrPrescriptionEntry {[]} {[]}
","Référence de la prescription","Référence de la prescription","","","","","","","","","",,,,,"",,,,"FrVaccinRecommande.prescription",0,1,"",""
"FrVaccinRecommande.rangVaccination","FrVaccinRecommande.rangVaccination","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/FrRangVaccination {[]} {[]}
","Rang de la vaccination","Rang de la vaccination","","","","","","","","","",,,,,"",,,,"FrVaccinRecommande.rangVaccination",0,1,"",""
"FrVaccinRecommande.commentaire","FrVaccinRecommande.commentaire","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/FrCommentaireER {[]} {[]}
","Commentaire","Commentaire","","","","","","","","","",,,,,"",,,,"FrVaccinRecommande.commentaire",0,1,"",""
