"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"DICOMAdministrationRadiopharmaceutique","DICOMAdministrationRadiopharmaceutique","","","",0,*,"","","","null {[]} {[]}
","DICOM Administration radiopharmaceutique","Modèle logique métier de l'entrée DICOM Administration radiopharmaceutique","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"DICOMAdministrationRadiopharmaceutique.typeTraitement","DICOMAdministrationRadiopharmaceutique.typeTraitement","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type de traitement","Type de traitement","","","","","","","","","",,,,,"",,,,"DICOMAdministrationRadiopharmaceutique.typeTraitement",1,1,"",""
"DICOMAdministrationRadiopharmaceutique.voieAdministration","DICOMAdministrationRadiopharmaceutique.voieAdministration","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Voie d'administration","Voie d'administration","","","","","","","","","",,"","EDQM (0.4.0.127.0.16.1.1.2.1)","","",,,,"DICOMAdministrationRadiopharmaceutique.voieAdministration",0,1,"",""
"DICOMAdministrationRadiopharmaceutique.dose","DICOMAdministrationRadiopharmaceutique.dose","","","",0,1,"","","","Quantity {[]} {[]}
","Dose à administrer","Dose à administrer","","","","","","","","","",,,,,"",,,,"DICOMAdministrationRadiopharmaceutique.dose",0,1,"",""
"DICOMAdministrationRadiopharmaceutique.rythme","DICOMAdministrationRadiopharmaceutique.rythme","","","",0,1,"","","","Range {[]} {[]}
","Rythme d'administration","Rythme d'administration","","","","","","","","","",,,,,"",,,,"DICOMAdministrationRadiopharmaceutique.rythme",0,1,"",""
"DICOMAdministrationRadiopharmaceutique.medicament","DICOMAdministrationRadiopharmaceutique.medicament","","","",1,1,"","","","Base {[]} {[]}
","Médicament","Médicament","","","","","","","","","",,,,,"",,,,"DICOMAdministrationRadiopharmaceutique.medicament",1,1,"",""
"DICOMAdministrationRadiopharmaceutique.medicament.produit","DICOMAdministrationRadiopharmaceutique.medicament.produit","","","",1,1,"","","","Base {[]} {[]}
","Produit de santé","Produit de santé","","","","","","","","","",,,,,"",,,,"DICOMAdministrationRadiopharmaceutique.medicament.produit",1,1,"",""
"DICOMAdministrationRadiopharmaceutique.medicament.produit.codeProduit","DICOMAdministrationRadiopharmaceutique.medicament.produit.codeProduit","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Code du produit radiopharmaceutique","Code du produit radiopharmaceutique","","","","","","","","","",,,,,"",,,,"DICOMAdministrationRadiopharmaceutique.medicament.produit.codeProduit",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"DICOMAdministrationRadiopharmaceutique.medicament.produit.codeProduit.id","DICOMAdministrationRadiopharmaceutique.medicament.produit.codeProduit.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"DICOMAdministrationRadiopharmaceutique.medicament.produit.codeProduit.extension","DICOMAdministrationRadiopharmaceutique.medicament.produit.codeProduit.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"DICOMAdministrationRadiopharmaceutique.medicament.produit.codeProduit.coding","DICOMAdministrationRadiopharmaceutique.medicament.produit.codeProduit.coding","","","",0,*,"","","Y","Coding {[]} {[]}
","Code defined by a terminology system","A reference to a code defined by a terminology system.","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.","","","","","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
