"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"AllergieOuHypersensibilite","AllergieOuHypersensibilite","","","",0,*,"","","","null {[]} {[]}
","Allergie, Hypersensibilité non allergique, Intolérance, Idiosyncrasie","Modèle logique métier de l'entrée Allergie ou hypersensibilite","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"AllergieOuHypersensibilite.identifiant","AllergieOuHypersensibilite.identifiant","","","",1,*,"","","","Identifier {[]} {[]}
","Identifiant de l’entrée","Identifiant de l’entrée","","","","","","","","","",,,,,"",,,,"AllergieOuHypersensibilite.identifiant",1,*,"",""
"AllergieOuHypersensibilite.description","AllergieOuHypersensibilite.description","","","",1,1,"","","","Narrative {[]} {[]}
","Partie narrative de l’entrée","Partie narrative de l’entrée","","","","","","","","","",,,,,"",,,,"AllergieOuHypersensibilite.description",1,1,"",""
"AllergieOuHypersensibilite.type","AllergieOuHypersensibilite.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type d'allergie / hypersensibilité non allergique / intolérance / idiosyncrasie","Type d'allergie / hypersensibilité non allergique / intolérance / idiosyncrasie","","","","","","","","","",,,,,"",,,,"AllergieOuHypersensibilite.type",1,1,"",""
"AllergieOuHypersensibilite.statut","AllergieOuHypersensibilite.statut","","","",0,1,"","","","code {[]} {[]}
","Statut de l’entrée","Statut de l’entrée","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""completed""/>","","","",,,,,"",,,,"AllergieOuHypersensibilite.statut",0,1,"",""
"AllergieOuHypersensibilite.date","AllergieOuHypersensibilite.date","","","",1,1,"","","","dateTime {[]} {[]}
","Date de début","Date de début","","","","","","","","","",,,,,"",,,,"AllergieOuHypersensibilite.date",1,1,"",""
"AllergieOuHypersensibilite.participant","AllergieOuHypersensibilite.participant","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/ParticipantCorps {[]} {[]}
","Agent responsable","Agent responsable","","","","","","","","","",,,,,"",,,,"AllergieOuHypersensibilite.participant",0,1,"",""
"AllergieOuHypersensibilite.probleme","AllergieOuHypersensibilite.probleme","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/Probleme {[]} {[]}
","Réaction observée","Réaction observée","","","","","","","","","",,,,,"",,,,"AllergieOuHypersensibilite.probleme",0,*,"",""
"AllergieOuHypersensibilite.statutClique","AllergieOuHypersensibilite.statutClique","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Statut clinique de l'allergie","Statut clinique de l'allergie","","","","","","","","","",,"","HL7_allergyintolerance-clinical","","",,,,"AllergieOuHypersensibilite.statutClique",0,1,"",""
"AllergieOuHypersensibilite.certitude","AllergieOuHypersensibilite.certitude","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/Certitude {[]} {[]}
","Certitude","Certitude","","","","","","","","","",,"","HL7_condition-ver-status","","",,,,"AllergieOuHypersensibilite.certitude",0,1,"",""
"AllergieOuHypersensibilite.criticite","AllergieOuHypersensibilite.criticite","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/Criticite {[]} {[]}
","Criticité","Criticité","","","","","","","","","",,"","HL7_allergy_intolerance_criticality","","",,,,"AllergieOuHypersensibilite.criticite",0,1,"",""
