"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"VaccinRecommande","VaccinRecommande","","","",0,*,"","","","null {[]} {[]}
","Vaccin recommandé","Modèle logique métier de l'entrée Vaccin recommandé","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"VaccinRecommande.identifiantVaccinRecommande","VaccinRecommande.identifiantVaccinRecommande","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l’entrée","Identifiant de l’entrée","","","","","","","","","",,,,,"",,,,"VaccinRecommande.identifiantVaccinRecommande",1,1,"",""
"VaccinRecommande.codeVaccinRecommande","VaccinRecommande.codeVaccinRecommande","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type d'acte : vaccination","Type d'acte : vaccination","","","","","","","","","",,,,,"",,,,"VaccinRecommande.codeVaccinRecommande",1,1,"",""
"VaccinRecommande.descriptionNarrativeVaccinRecommande","VaccinRecommande.descriptionNarrativeVaccinRecommande","","","",1,1,"","","","Narrative {[]} {[]}
","Partie narrative de l’entrée","Partie narrative de l’entrée","","","","","","","","","",,,,,"",,,,"VaccinRecommande.descriptionNarrativeVaccinRecommande",1,1,"",""
"VaccinRecommande.statutVaccinRecommande","VaccinRecommande.statutVaccinRecommande","","","",1,1,"","","","code {[]} {[]}
","Statut de l’entrée","Statut de l’entrée","","","","","","","","","",,,,,"",,,,"VaccinRecommande.statutVaccinRecommande",1,1,"",""
"VaccinRecommande.periodeVaccination","VaccinRecommande.periodeVaccination","","","",1,1,"","","","dateTime {[]} {[]}
","Période de vaccination souhaitable","Période de vaccination souhaitable","","","","","","","","","",,,,,"",,,,"VaccinRecommande.periodeVaccination",1,1,"",""
"VaccinRecommande.voieAdministration","VaccinRecommande.voieAdministration","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Voie d’administration","Voie d’administration","","","","","","","","","",,,,,"",,,,"VaccinRecommande.voieAdministration",0,1,"",""
"VaccinRecommande.regionAnatomique","VaccinRecommande.regionAnatomique","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Région anatomique d'administration","Région anatomique d'administration","","","","","","","","","",,"","SNOMED CT (2.16.840.1.113883.6.96)","","",,,,"VaccinRecommande.regionAnatomique",0,*,"",""
"VaccinRecommande.doseAdministree","VaccinRecommande.doseAdministree","","","",0,1,"","","","Quantity {[]} {[]}
","Dose administrée","Dose administrée","","","","","","","","","",,,,,"",,,,"VaccinRecommande.doseAdministree",0,1,"",""
"VaccinRecommande.vaccin","VaccinRecommande.vaccin","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/ProduitSante {[]} {[]}
","Vaccin","Vaccin","","","","","","","","","",,,,,"",,,,"VaccinRecommande.vaccin",1,1,"",""
"VaccinRecommande.prescription","VaccinRecommande.prescription","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/PrescriptionEntry {[]} {[]}
","Référence de la prescription","Référence de la prescription","","","","","","","","","",,,,,"",,,,"VaccinRecommande.prescription",0,1,"",""
"VaccinRecommande.rangVaccination","VaccinRecommande.rangVaccination","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/RangVaccination {[]} {[]}
","Rang de la vaccination","Rang de la vaccination","","","","","","","","","",,,,,"",,,,"VaccinRecommande.rangVaccination",0,1,"",""
"VaccinRecommande.commentaire","VaccinRecommande.commentaire","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/CommentaireER {[]} {[]}
","Commentaire","Commentaire","","","","","","","","","",,,,,"",,,,"VaccinRecommande.commentaire",0,1,"",""
