"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Sujet","Sujet","","","",0,*,"","","","null {[]} {[]}
","Sujet","Modèle logique métier de l'élément Sujet","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Sujet.lienPatient","Sujet.lienPatient","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Lien avec le patient","Lien avec le patient","","","","","","","","","",,,,,"",,,,"Sujet.lienPatient",1,1,"",""
"Sujet.adresse","Sujet.adresse","","","",0,*,"","","","Address {[]} {[]}
","Adresse","Adresse","","","","","","","","","",,,,,"",,,,"Sujet.adresse",0,*,"",""
"Sujet.telecom","Sujet.telecom","","","",0,*,"","","","ContactPoint {[]} {[]}
","Télécom","Télécom","","","","","","","","","",,,,,"",,,,"Sujet.telecom",0,*,"",""
"Sujet.sujet","Sujet.sujet","","","",0,*,"","","","BackboneElement {[]} {[]}
","Sujet","Sujet","","","","","","","","","",,,,,"",,,,"Sujet.sujet",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Sujet.sujet.id","Sujet.sujet.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Sujet.sujet.extension","Sujet.sujet.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Sujet.sujet.modifierExtension","Sujet.sujet.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Sujet.sujet.identifiants","Sujet.sujet.identifiants","","","",0,*,"","","","Identifier {[]} {[]}
","Identifiants du sujet","Identifiants du sujet","","","","","","","","","",,,,,"",,,,"Sujet.sujet.identifiants",0,*,"",""
"Sujet.sujet.nomPrenom","Sujet.sujet.nomPrenom","","","",0,*,"","","","string {[]} {[]}
","Nom et prénom","Nom et prénom","","","","","","","","","",,,,,"",,,,"Sujet.sujet.nomPrenom",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Sujet.sujet.nomPrenom.id","Sujet.sujet.nomPrenom.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references)","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Sujet.sujet.nomPrenom.extension","Sujet.sujet.nomPrenom.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the resource. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Sujet.sujet.nomPrenom.value","Sujet.sujet.nomPrenom.value","","","",0,1,"","","","string {[]} {[]}
","Primitive value for string","The actual value","","","","","","","","","",1048576,,,,"",,,,"string.value",0,1,"",""
"Sujet.sujet.nomPrenom.nom","Sujet.sujet.nomPrenom.nom","","","",0,*,"","","","string {[]} {[]}
","Nom","Nom","","","","","","","","","",,,,,"",,,,"Sujet.sujet.nomPrenom.nom",0,*,"",""
"Sujet.sujet.nomPrenom.prenom","Sujet.sujet.nomPrenom.prenom","","","",0,*,"","","","string {[]} {[]}
","Prénom","Prénom","","","","","","","","","",,,,,"",,,,"Sujet.sujet.nomPrenom.prenom",0,*,"",""
"Sujet.sujet.nomPrenom.civilite","Sujet.sujet.nomPrenom.civilite","","","",0,1,"","","","string {[]} {[]}
","Civilité","Civilité","","","","","","","","","",,,,,"",,,,"Sujet.sujet.nomPrenom.civilite",0,1,"",""
"Sujet.sujet.nomPrenom.titre","Sujet.sujet.nomPrenom.titre","","","",0,1,"","","","string {[]} {[]}
","Titre","Titre","","","","","","","","","",,,,,"",,,,"Sujet.sujet.nomPrenom.titre",0,1,"",""
"Sujet.sujet.sexeSujet","Sujet.sujet.sexeSujet","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Sexe du sujet","Sexe du sujet","","","","","","","","","",,,,,"",,,,"Sujet.sujet.sexeSujet",0,1,"",""
"Sujet.sujet.dateNaissanceSujet","Sujet.sujet.dateNaissanceSujet","","","",0,1,"","","","dateTime {[]} {[]}
","Date de naissance du sujet","Date de naissance du sujet","","","","","","","","","",,,,,"",,,,"Sujet.sujet.dateNaissanceSujet",0,1,"",""
"Sujet.sujet.sujetDecede","Sujet.sujet.sujetDecede","","","",0,1,"","","","boolean {[]} {[]}
","Sujet décédé","Sujet décédé","","","","","","","","","",,,,,"",,,,"Sujet.sujet.sujetDecede",0,1,"",""
"Sujet.sujet.dateHeureDeces","Sujet.sujet.dateHeureDeces","","","",0,1,"","","","dateTime {[]} {[]}
","Date et heure du décès","Date et heure du décès","","","","","","","","","",,,,,"",,,,"Sujet.sujet.dateHeureDeces",0,1,"",""
"Sujet.sujet.naissanceMultiple","Sujet.sujet.naissanceMultiple","","","",0,1,"","","","boolean {[]} {[]}
","Sujet né d’une naissance multiple","Sujet né d’une naissance multiple","","","","","","","","","",,,,,"",,,,"Sujet.sujet.naissanceMultiple",0,1,"",""
"Sujet.sujet.rangNaissance","Sujet.sujet.rangNaissance","","","",0,1,"","","","string {[]} {[]}
","Rang de naissance (en cas de naissances multiples)","Rang de naissance (en cas de naissances multiples)","","","","","","","","","",,,,,"",,,,"Sujet.sujet.rangNaissance",0,1,"",""
