"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Auteur","Auteur","Auteur","","","",1,*,"","","","null {[]} {[]}
","Modèle métier - Auteur du document (humain ou système)","Auteur du document : ce peut être un professionnel, un patient/usager ou un système. 
- Pour un professionnel ou un système, la structure de rattachement doit être précisée.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Auteur","Auteur.roleFonctionnel","Auteur.roleFonctionnel","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Rôle fonctionnel de l’auteur. A utiliser uniquement si l'auteur est un professionnel.","Rôle fonctionnel de l’auteur. A utiliser uniquement si l'auteur est un professionnel.","","","","","","","","","",,,,,"",,,,"Auteur.roleFonctionnel",0,1,"",""
"Auteur","Auteur.horodatageParticipation","Auteur.horodatageParticipation","","","",1,1,"","","","time {[]} {[]}
","Horodatage de la participation de l’auteur.","Horodatage de la participation de l’auteur.","","","","","","","","","",,,,,"",,,,"Auteur.horodatageParticipation",1,1,"",""
"Auteur","Auteur.auteur[x]","Auteur.auteur[x]","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/PersonneStructureAuteur {[]} {[]}
https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/SystemeStructureAuteur {[]} {[]}","Auteur du document : ce peut être un professionnel, un patient/usager ou un système. Pour un professionnel ou un système, la structure de rattachement doit être précisée.","Auteur du document : ce peut être un professionnel, un patient/usager ou un système. Pour un professionnel ou un système, la structure de rattachement doit être précisée.","","","","","","","","","",,,,,"",,,,"Auteur.auteur[x]",1,1,"",""
"Consentement","Consentement","Consentement","","","",0,*,"","","","null {[]} {[]}
","Modèle métier - Consentement associé au document","Permet de documenter qu'un consentement éclairé a été obtenu et d'indiquer quel type de consentement a été fourni.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Consentement","Consentement.identifiantConsentement","Consentement.identifiantConsentement","","","",0,*,"","","","Identifier {[]} {[]}
","Identifiant du consentement.","Identifiant du consentement.","","","","","","","","","",,,,,"",,,,"Consentement.identifiantConsentement",0,*,"",""
"Consentement","Consentement.typeConsentement","Consentement.typeConsentement","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type de consentement.","Type de consentement.","","","","","","","","","",,,,,"",,,,"Consentement.typeConsentement",1,1,"",""
"Consentement","Consentement.statutConsentement","Consentement.statutConsentement","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Statut du consentement.","Statut du consentement.","","","","","","","","","",,,,,"",,,,"Consentement.statutConsentement",1,1,"",""
"DestinatairePrevu","DestinatairePrevu","DestinatairePrevu","","","",0,*,"","","","null {[]} {[]}
","Modèle métier - Destinataire prévu du document","Personne déclarée comme destinataire prévu du document.
- Attention : Cet élément ne contient que le(s) destinataire(s) initialement prévu(s) à la création du document. Rien ne permet par la suite, de certifier que le document a réellement été envoyé à ce(s) destinataire(s).
 Par ailleurs, il ne faut pas créer de nouvelle version du document si on souhaite l'envoyer à d'autres destinataires.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"DestinatairePrevu","DestinatairePrevu.destinataire","DestinatairePrevu.destinataire","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/PersonneStructure {[]} {[]}
","Destinataire prévu du document.","Destinataire prévu du document.","","","","","","","","","",,,,,"",,,,"DestinatairePrevu.destinataire",0,*,"",""
"DocumentDeReference","DocumentDeReference","DocumentDeReference","","","",0,1,"","","","null {[]} {[]}
","Modèle métier - Document de référence","Référence un document existant (à remplacer ou transformé).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"DocumentDeReference","DocumentDeReference.typeReference","DocumentDeReference.typeReference","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type de référence.","Type de référence.","","","","","","","","","",,,,,"",,,,"DocumentDeReference.typeReference",1,1,"",""
"DocumentDeReference","DocumentDeReference.identifiantUniqueDocument","DocumentDeReference.identifiantUniqueDocument","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant unique du document de référence.","Identifiant unique du document de référence.","","","","","","","","","",,,,,"",,,,"DocumentDeReference.identifiantUniqueDocument",1,1,"",""
"EnteteDocument","EnteteDocument","EnteteDocument","","","",1,1,"","","","null {[]} {[]}
","Modèle logique métier de l'en-tête","Eléments de l'entête d'un document contenant les informations générales et nécessaires à la gestion du document (identification et type du document, patient/usager, auteur, évènement documenté, etc...).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"EnteteDocument","EnteteDocument.identifiantUniqueDocument","EnteteDocument.identifiantUniqueDocument","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant unique du document.","Identifiant unique du document.","","","","","","","","","",,,,,"",,,,"EnteteDocument.identifiantUniqueDocument",1,1,"",""
"EnteteDocument","EnteteDocument.modeleDocument","EnteteDocument.modeleDocument","","","",1,1,"","","","Identifier {[]} {[]}
","Modèle du document et version du modèle.","Modèle du document et version du modèle.","","","","","","","","","",,,,,"",,,,"EnteteDocument.modeleDocument",1,1,"",""
