URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_29.html,2025.3.20250714,active,"1.2.840.10008.6.1.19",AcquisitionModality,,"Transitive closure of CID 29 AcquisitionModality","StructureDefinition/fr-imaging-study-examen-imagerie-dicom","DICOM"
http://hl7.org/cda/stds/core/ValueSet/CDAActClass,2.0.0-sd,draft,,CDAActClass,CDAActClass,"A code specifying the major type of Act that this Act-instance represents.","StructureDefinition/fr-core-clinical-document,StructureDefinition/fr-core-encompassing-encounter,StructureDefinition/fr-core-order,StructureDefinition/fr-core-service-event,StructureDefinition/fr-core-authorization","THO (V3)"
http://hl7.org/cda/stds/core/ValueSet/CDAActMood,2.0.0-sd,draft,,CDAActMood,CDAActMood,"A code distinguishing whether an Act is conceived of as a factual statement or in some other manner as a command, possibility, goal, etc.","StructureDefinition/fr-core-clinical-document,StructureDefinition/fr-core-encompassing-encounter,StructureDefinition/fr-core-service-event,StructureDefinition/fr-core-authorization,StructureDefinition/fr-core-parent-document","THO (V3)"
http://hl7.org/cda/stds/core/ValueSet/CDAActMoodIntent,2.0.0-sd,draft,,CDAActMoodIntent,CDAActMoodIntent,"An intention or plan to perform a service.","StructureDefinition/fr-core-order","THO (V3)"
http://hl7.org/cda/stds/core/ValueSet/CDAActRelationshipType,2.0.0-sd,draft,,CDAActRelationshipType,CDAActRelationshipType,"A code specifying the meaning and purpose of every ActRelationship instance. Each of its values implies specific constraints to what kinds of Act objects can be related and in which way.","StructureDefinition/fr-core-documentation-of","THO (V3)"
http://hl7.org/cda/stds/core/ValueSet/CDAContextControl,2.0.0-sd,draft,,CDAContextControl,CDAContextControl,"A code that specifies how an ActRelationship or Participation contributes to the context of an Act, and whether it may be propagated to descendent Acts whose association allows such propagation.","StructureDefinition/fr-core-record-target,StructureDefinition/fr-core-data-enterer,StructureDefinition/fr-core-author,StructureDefinition/fr-core-participant,StructureDefinition/fr-core-legal-authenticator,StructureDefinition/fr-core-informant","THO (V3)"
http://hl7.org/cda/stds/core/ValueSet/CDAEntityCode,2.0.0-sd,draft,,CDAEntityCode,CDAEntityCode,"A value representing the specific kind of Entity the instance represents.","StructureDefinition/fr-core-authoring-device","THO (V3)"
http://hl7.org/cda/stds/core/ValueSet/CDAEntityNameUse,2.0.0-sd,draft,,CDAEntityNameUse,CDAEntityNameUse,"A set of codes advising a system or user which name in a set of names to select for a given purpose - limited to values allowed in original CDA definition","StructureDefinition/fr-core-name,StructureDefinition/fr-core-patient","THO (V3)"
http://hl7.org/cda/stds/core/ValueSet/CDAInformationRecipientRole,2.0.0-sd,draft,,CDAInformationRecipientRole,CDAInformationRecipientRole,"Used to represent the role(s) of those who should receive a copy of a document - limited to values allowed in original CDA definition","StructureDefinition/fr-core-intended-recipient","THO (V3)"
http://hl7.org/cda/stds/core/ValueSet/CDANullFlavor,2.0.0-sd,draft,,CDANullFlavor,CDANullFlavor,"CDA NullFlavors - limited to values allowed in original CDA definition","StructureDefinition/fr-core-clinical-document,StructureDefinition/fr-core-information-recipient,StructureDefinition/fr-core-service-event,StructureDefinition/fr-core-authoring-device,StructureDefinition/fr-core-documentation-of,StructureDefinition/fr-core-associated-entity,StructureDefinition/fr-core-person,StructureDefinition/fr-core-related-entity,StructureDefinition/fr-core-component-of,StructureDefinition/fr-core-represented-organization,StructureDefinition/fr-core-order,StructureDefinition/fr-core-participant,StructureDefinition/fr-core-encounter-participant,StructureDefinition/fr-core-health-care-facility,StructureDefinition/fr-core-represented-custodian-organization,StructureDefinition/fr-core-patient-role,StructureDefinition/fr-core-legal-authenticator,StructureDefinition/fr-core-informant,StructureDefinition/fr-core-record-target,StructureDefinition/fr-core-author,StructureDefinition/fr-core-data-enterer,StructureDefinition/fr-core-performer,StructureDefinition/fr-core-patient,StructureDefinition/fr-core-parent-document,StructureDefinition/fr-core-intended-recipient,StructureDefinition/fr-core-assigned-custodian,StructureDefinition/fr-core-name,StructureDefinition/fr-core-assigned-entity,StructureDefinition/fr-core-inFulfillment-of,StructureDefinition/fr-core-custodian,StructureDefinition/fr-core-encompassing-encounter,StructureDefinition/fr-core-related-document,StructureDefinition/fr-core-authorization,StructureDefinition/fr-core-assigned-author,StructureDefinition/fr-core-authenticator","THO (V3)"
http://hl7.org/cda/stds/core/ValueSet/CDAParticipationType,2.0.0-sd,draft,,CDAParticipationType,CDAParticipationType,"A code specifying the meaning and purpose of every Participation instance. Each of its values implies specific constraints on the Roles undertaking the participation. Limited to values allowed in original CDA definition","StructureDefinition/fr-core-record-target,StructureDefinition/fr-core-data-enterer,StructureDefinition/fr-core-author,StructureDefinition/fr-core-custodian,StructureDefinition/fr-core-encompassing-encounter,StructureDefinition/fr-core-participant,StructureDefinition/fr-core-authenticator,StructureDefinition/fr-core-legal-authenticator,StructureDefinition/fr-core-informant","THO (V3)"
