"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Systeme","Systeme","","","",0,*,"","","","null {[]} {[]}
","Système","Système auteur du document","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Systeme.identificationAuteur","Systeme.identificationAuteur","","","",1,1,"","","","BackboneElement {[]} {[]}
","Identification de l’auteur.","Identification de l’auteur.","","","","","","","","","",,,,,"",,,,"Systeme.identificationAuteur",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Systeme.identificationAuteur.id","Systeme.identificationAuteur.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Systeme.identificationAuteur.extension","Systeme.identificationAuteur.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Systeme.identificationAuteur.modifierExtension","Systeme.identificationAuteur.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Systeme.identificationAuteur.identifiantAuteur","Systeme.identificationAuteur.identifiantAuteur","","","",1,*,"","","","Identifier {[]} {[]}
","Identifiant de l’auteur.","Identifiant de l’auteur.","","","","","","","","","",,,,,"",,,,"Systeme.identificationAuteur.identifiantAuteur",1,*,"",""
"Systeme.identificationAuteur.professionSavoirFaireRole","Systeme.identificationAuteur.professionSavoirFaireRole","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Rôle.","Rôle.","","","","","","","","","",,,,,"",,,,"Systeme.identificationAuteur.professionSavoirFaireRole",1,1,"",""
"Systeme.identificationAuteur.systeme","Systeme.identificationAuteur.systeme","","","",1,1,"","","","BackboneElement {[]} {[]}
","Système.","Système.","","","","","","","","","",,,,,"",,,,"Systeme.identificationAuteur.systeme",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Systeme.identificationAuteur.systeme.id","Systeme.identificationAuteur.systeme.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Systeme.identificationAuteur.systeme.extension","Systeme.identificationAuteur.systeme.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Systeme.identificationAuteur.systeme.modifierExtension","Systeme.identificationAuteur.systeme.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Systeme.identificationAuteur.systeme.nomModeleSysteme","Systeme.identificationAuteur.systeme.nomModeleSysteme","","","",1,1,"","","","string {[]} {[]}
","Nom du modèle du système.","Nom du modèle du système.","","","","","","","","","",,,,,"",,,,"Systeme.identificationAuteur.systeme.nomModeleSysteme",1,1,"",""
"Systeme.identificationAuteur.systeme.nomSysteme","Systeme.identificationAuteur.systeme.nomSysteme","","","",1,1,"","","","string {[]} {[]}
","Nom du système.","Nom du système.","","","","","","","","","",,,,,"",,,,"Systeme.identificationAuteur.systeme.nomSysteme",1,1,"",""
"Systeme.identificationAuteur.structure","Systeme.identificationAuteur.structure","","","",1,1,"","","","BackboneElement {[]} {[]}
","Structure.","Structure.","","","","","","","","","",,,,,"",,,,"Systeme.identificationAuteur.structure",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Systeme.identificationAuteur.structure.id","Systeme.identificationAuteur.structure.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Systeme.identificationAuteur.structure.extension","Systeme.identificationAuteur.structure.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Systeme.identificationAuteur.structure.modifierExtension","Systeme.identificationAuteur.structure.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Systeme.identificationAuteur.structure.identifiantStructure","Systeme.identificationAuteur.structure.identifiantStructure","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de la structure.","Identifiant de la structure.","","","","","","","","","",,,,,"",,,,"Systeme.identificationAuteur.structure.identifiantStructure",1,1,"",""
"Systeme.identificationAuteur.structure.nomStructure","Systeme.identificationAuteur.structure.nomStructure","","","",1,1,"","","","string {[]} {[]}
","Nom de la structure.","Nom de la structure.","","","","","","","","","",,,,,"",,,,"Systeme.identificationAuteur.structure.nomStructure",1,1,"",""
"Systeme.identificationAuteur.structure.adresse","Systeme.identificationAuteur.structure.adresse","","","",0,*,"","","","Address {[]} {[]}
","Adresse géopostale.","Adresse géopostale.","","","","","","","","","",,,,,"",,,,"Systeme.identificationAuteur.structure.adresse",0,*,"",""
"Systeme.identificationAuteur.structure.coordonneesTelecom","Systeme.identificationAuteur.structure.coordonneesTelecom","","","",0,*,"","","","ContactPoint {[]} {[]}
","Coordonnées télécom.","Coordonnées télécom.","","","","","","","","","",,,,,"",,,,"Systeme.identificationAuteur.structure.coordonneesTelecom",0,*,"",""
