URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://interop.esante.gouv.fr/ig/document/core/ValueSet/fr-doc-vs-participation-type,0.1.0,draft,,FRValueSetParticipationType,FR ValueSet Participation Type,"Type de participation : destinataire","StructureDefinition/fr-composition-document","THO (V3)"
https://interop.esante.gouv.fr/ig/document/core/ValueSet/fr-doc-vs-role-prise-charge,0.1.0,draft,,FRValueSetRolePriseCharge,Fr ValueSet RolePriseCharge,"Pour les professions 41 (Assistant de service social) et 99 (Acteur caractérisé par son rôle).","StructureDefinition/fr-practitioner-document","ans.fr.nos"
https://interop.esante.gouv.fr/ig/document/core/ValueSet/fr-doc-vs-savoir-faire-profession-chirurgien-dentiste,0.1.0,draft,,FRValueSetSavoirFaireProfessionChirurgienDentiste,Fr ValueSet Savoir-faire Profession Chirurgien-Dentiste,"Savoir-faire pour la profession 40 (Chirurgien-Dentiste)","StructureDefinition/fr-practitioner-document","ans.fr.nos"
https://interop.esante.gouv.fr/ig/document/core/ValueSet/fr-doc-vs-savoir-faire-profession-infirmier,0.1.0,draft,,FRValueSetSavoirFaireProfessionInfirmier,Fr ValueSet Savoir-faire Profession Infirmier,"Savoir-faire pour la profession 60 (Infirmier)","StructureDefinition/fr-practitioner-document","ans.fr.nos"
https://interop.esante.gouv.fr/ig/document/core/ValueSet/fr-doc-vs-savoir-faire-profession-medecin,0.1.0,draft,,FRValueSetSavoirFaireProfessionMedecin,Fr ValueSet Savoir-faire Profession Medecin,"Savoir-faire pour la profession 10 (Médecin)","StructureDefinition/fr-practitioner-document","ans.fr.nos"
https://interop.esante.gouv.fr/ig/document/core/ValueSet/fr-doc-vs-savoir-faire-profession-pharmacien,0.1.0,draft,,FRValueSetSavoirFaireProfessionPharmacien,Fr ValueSet Savoir-faire Profession Pharmacien,"Savoir-faire pour la profession 21 (Pharmacien)","StructureDefinition/fr-practitioner-document","ans.fr.nos"
https://interop.esante.gouv.fr/ig/document/core/ValueSet/fr-doc-vs-type-savoir-faire-profession-chirurgien-dentiste,0.1.0,draft,,FRValueSetTypeSavoirFaireProfessionChirurgienDentiste,Fr ValueSet Type Savoir-faire Profession Chirurgien-Dentiste,"Type Savoir-faire pour la profession 40 (Chirurgien-Dentiste)","StructureDefinition/fr-practitioner-document","ans.fr.nos"
https://interop.esante.gouv.fr/ig/document/core/ValueSet/fr-doc-vs-type-savoir-faire-profession-infirmier,0.1.0,draft,,FRValueSetTypeSavoirFaireProfessionInfirmier,Fr ValueSet Type Savoir-faire Profession Infirmier,"Type Savoir-faire pour la profession 60 (Infirmier)","StructureDefinition/fr-practitioner-document","ans.fr.nos"
https://interop.esante.gouv.fr/ig/document/core/ValueSet/fr-doc-vs-type-savoir-faire-profession-medecin,0.1.0,draft,,FRValueSetTypeSavoirFaireProfessionMedecin,Fr ValueSet Type Savoir-faire Profession Medecin,"Type Savoir-faire pour la profession 10 (Médecin)","StructureDefinition/fr-practitioner-document","ans.fr.nos"
https://interop.esante.gouv.fr/ig/document/core/ValueSet/fr-doc-vs-type-savoir-faire-profession-pharmacien,0.1.0,draft,,FRValueSetTypeSavoirFaireProfessionPharmacien,Fr ValueSet Type Savoir-faire Profession Pharmacien,"Type Savoir-faire pour la profession 21 (Pharmacien)","StructureDefinition/fr-practitioner-document","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J01-XdsAuthorSpecialty-CISIS/FHIR/JDV-J01-XdsAuthorSpecialty-CISIS,1.5.0,active,"1.2.250.1.213.1.1.5.461",JDV_J01-XdsAuthorSpecialty-CISIS,,"XDS authorSpecialty CI-SIS","StructureDefinition/fr-core-associated-entity,StructureDefinition/fr-core-performer,StructureDefinition/fr-core-assigned-author,StructureDefinition/fr-core-legal-authenticator","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J02-XdsHealthcareFacilityTypeCode-CISIS/FHIR/JDV-J02-XdsHealthcareFacilityTypeCode-CISIS,1.5.0,active,"1.2.250.1.213.1.1.5.466",JDV_J02-XdsHealthcareFacilityTypeCode-CISIS,,"XDS healthcareFacilityTypeCode CI-SIS","StructureDefinition/fr-location-document,StructureDefinition/fr-core-health-care-facility","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J04-XdsPracticeSettingCode-CISIS/FHIR/JDV-J04-XdsPracticeSettingCode-CISIS,1.5.0,active,"1.2.250.1.213.1.1.5.467",JDV_J04-XdsPracticeSettingCode-CISIS,,"XDS practiceSettingCode CI-SIS","StructureDefinition/fr-organization-document,StructureDefinition/fr-core-represented-organization","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J11-RelationPatient-CISIS/FHIR/JDV-J11-RelationPatient-CISIS,1.5.0,active,"1.2.250.1.213.3.3.16",JDV_J11-RelationPatient-CISIS,,"Relation par rapport au patient - CI-SIS","StructureDefinition/fr-core-related-entity,StructureDefinition/fr-patient-ins-document,StructureDefinition/fr-related-person-document","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J140-EncounterParticipationType-CISIS/FHIR/JDV-J140-EncounterParticipationType-CISIS,1.5.0,active,"1.2.250.1.213.1.1.5.528",JDV_J140-EncounterParticipationType-CISIS,,"JDV_J140-EncounterParticipationType-CISIS","StructureDefinition/fr-encounter-document,StructureDefinition/fr-core-encounter-participant","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J141-RoleClass-CISIS/FHIR/JDV-J141-RoleClass-CISIS,1.5.0,active,"1.2.250.1.213.1.1.5.588",JDV_J141-RoleClass-CISIS,,"RoleClassAssociative CI-SIS","StructureDefinition/fr-core-associated-entity,StructureDefinition/fr-practitionerRole-document","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J142-TypeRencontre-CISIS/FHIR/JDV-J142-TypeRencontre-CISIS,1.5.0,active,"1.2.250.1.213.1.1.5.589",JDV_J142-TypeRencontre-CISIS,,"Type de prise en charge CI-SIS","StructureDefinition/fr-core-encompassing-encounter","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J143-AdministrativeGender-CISIS/FHIR/JDV-J143-AdministrativeGender-CISIS,1.5.0,active,"1.2.250.1.213.1.1.5.590",JDV_J143-AdministrativeGender-CISIS,,"Sexe administratif CI-SIS","StructureDefinition/fr-core-patient","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J144-ParticipationType-CISIS/FHIR/JDV-J144-ParticipationType-CISIS,1.5.0,active,"1.2.250.1.213.1.1.5.591",JDV_J144-ParticipationType-CISIS,,"Type de participation CI-SIS","StructureDefinition/fr-practitionerRole-document,StructureDefinition/fr-composition-document","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J245-Civilite-CISIS/FHIR/JDV-J245-Civilite-CISIS,1.5.0,active,"1.2.250.1.213.1.1.5.718",JDV_J245-Civilite-CISIS,,"Civilités CI-SIS","StructureDefinition/fr-core-person,StructureDefinition/fr-human-name-document","ans.fr.nos"
