"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"AssociationPrescription","AssociationPrescription","AssociationPrescription","","","",0,*,"","","","null {[]} {[]}
","Association du document à une prescription","Association à une prescription à l’origine de l’acte dont résulte le document.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"AssociationPrescription","AssociationPrescription.identifiantPrescription","AssociationPrescription.identifiantPrescription","","","",0,1,"","","","Identifier {[]} {[]}
","Identifiant de la prescription.","Identifiant de la prescription.","","","","","","","","","",,,,,"",,,,"AssociationPrescription.identifiantPrescription",0,1,"",""
"AssociationPrescription","AssociationPrescription.accessionNumber","AssociationPrescription.accessionNumber","","","",0,1,"","","","Identifier {[]} {[]}
","Accession Number (Spécifique à l’imagerie).","Accession Number (Spécifique à l’imagerie).","","","","","","","","","",,,,,"",,,,"AssociationPrescription.accessionNumber",0,1,"",""
"AssociationPriseEncharge","AssociationPriseEncharge","AssociationPriseEncharge","","","",0,*,"","","","null {[]} {[]}
","Association du document à une prise en charge","Permet d'associer le document à une prise en charge du patient/usager.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"AssociationPriseEncharge","AssociationPriseEncharge.identifiantPriseEnCharge","AssociationPriseEncharge.identifiantPriseEnCharge","","","",0,*,"","","","Identifier {[]} {[]}
","Identifiant de la prise en charge.","Identifiant de la prise en charge.","","","","","","","","","",,,,,"",,,,"AssociationPriseEncharge.identifiantPriseEnCharge",0,*,"",""
"AssociationPriseEncharge","AssociationPriseEncharge.typePriseEnCharge","AssociationPriseEncharge.typePriseEnCharge","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Type de prise en charge.","Type de prise en charge.","","","","","","","","","",,,,,"",,,,"AssociationPriseEncharge.typePriseEnCharge",0,1,"",""
"AssociationPriseEncharge","AssociationPriseEncharge.dateDebutFinPriseEnCharge","AssociationPriseEncharge.dateDebutFinPriseEnCharge","","","",1,1,"","","","dateTime {[]} {[]}
","Date de début et de fin de la prise en charge.","Date de début et de fin de la prise en charge.","","","","","","","","","",,,,,"",,,,"AssociationPriseEncharge.dateDebutFinPriseEnCharge",1,1,"",""
"AssociationPriseEncharge","AssociationPriseEncharge.typeSortie","AssociationPriseEncharge.typeSortie","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Type sortie.","Type sortie.","","","","","","","","","",,,,,"",,,,"AssociationPriseEncharge.typeSortie",0,1,"",""
"AssociationPriseEncharge","AssociationPriseEncharge.responsablePriseEnCharge","AssociationPriseEncharge.responsablePriseEnCharge","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/PersonneStructure {[]} {[]}
","Responsable de la prise en charge.","Responsable de la prise en charge.","","","","","","","","","",,,,,"",,,,"AssociationPriseEncharge.responsablePriseEnCharge",0,1,"",""
"AssociationPriseEncharge","AssociationPriseEncharge.personneImpliqueePriseEnCharge","AssociationPriseEncharge.personneImpliqueePriseEnCharge","","","",0,*,"","","","BackboneElement {[]} {[]}
","Personne impliquée dans la prise en charge.","Personne impliquée dans la prise en charge.","","","","","","","","","",,,,,"",,,,"AssociationPriseEncharge.personneImpliqueePriseEnCharge",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
